City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Guarapari,BR,-20.6667,-40.4975,84.88,75,33,12.66,scattered clouds
336,Kamaishi,JP,39.2667,141.8833,23.61,67,69,14.47,broken clouds
337,Goderich,CA,43.7501,-81.7165,29.91,73,100,14.9,overcast clouds
338,Mao,ES,39.8885,4.2658,46.96,71,75,19.57,broken clouds
339,Hauge,NO,58.3436,6.2812,41.7,89,100,13.94,overcast clouds
340,Katakwi,UG,1.8911,33.9661,81.28,18,1,11.45,clear sky
341,Puri,IN,19.8,85.85,72.12,79,8,6.85,clear sky
342,Ampanihy,MG,-24.7,44.75,76.8,83,100,23.0,light rain
343,Sieut,RO,46.9833,24.65,30.78,96,100,1.07,overcast clouds
344,Cururupu,BR,-1.8283,-44.8683,82.02,76,87,5.53,light rain
345,Akdepe,TM,42.0551,59.3788,30.79,48,0,9.95,clear sky
